max_depth,min_samples_split,criterion,threshold,training_size,gap,mean,std
5,2,mse,5138.5,0.5,6245.622222222222,1.0,0.0
5,2,mse,5138.5,0.5,3122.811111111111,1.0,0.0
5,2,mse,5138.5,0.5,1561.4055555555556,1.0,0.0
5,2,mse,5495.0,0.5,16531.0,0.9502753544750918,0.040040918437836505
5,2,mse,5495.0,0.5,6245.622222222222,0.9641327913008755,0.024300004159450318
5,2,mse,5495.0,0.5,3122.811111111111,0.94561764138576,0.04177037786596965
5,2,mse,5495.0,0.5,1561.4055555555556,0.945877960915847,0.03481822925343533
5,2,mse,14728.699999999999,0.5,16531.0,0.9100638274344377,0.05281162545310237
5,2,mse,14728.699999999999,0.5,6245.622222222222,0.8564761284271525,0.08456133674406424
5,2,mse,14728.699999999999,0.5,3122.811111111111,0.8913859050436385,0.08052059920872118
5,2,mse,14728.699999999999,0.5,1561.4055555555556,0.8778766890626525,0.05976727071748717
5,2,mse,3161.0,0.7,16531.0,0.5092214529428793,0.028673735742339623
5,2,mse,3161.0,0.7,6245.622222222222,0.503750450180072,0.03185173376716951
5,2,mse,3161.0,0.7,3122.811111111111,0.503015581232493,0.03459459079107094
5,2,mse,3161.0,0.7,1561.4055555555556,0.5186779673407824,0.048317496861791584
5,2,mse,3267.2,0.7,16531.0,0.6396258076542076,0.08200941709936112
5,2,mse,3267.2,0.7,6245.622222222222,0.6376328065757636,0.09998481626395603
5,2,mse,3267.2,0.7,3122.811111111111,0.6437296067220314,0.09641135088398431
5,2,mse,3267.2,0.7,1561.4055555555556,0.626361371814396,0.07443539615988456
5,2,mse,5138.5,0.7,16531.0,1.0,0.0
5,2,mse,5138.5,0.7,6245.622222222222,1.0,0.0
5,2,mse,5138.5,0.7,3122.811111111111,1.0,0.0
5,2,mse,5138.5,0.7,1561.4055555555556,1.0,0.0
5,2,mse,5495.0,0.7,16531.0,0.9543848454378695,0.04084545213690524
5,2,mse,5495.0,0.7,6245.622222222222,0.9666300501573156,0.026767078462503896
5,2,mse,5495.0,0.7,3122.811111111111,0.9516645838611326,0.04120042545387203
5,2,mse,5495.0,0.7,1561.4055555555556,0.9769890128487972,0.02014001021718606
5,2,mse,14728.699999999999,0.7,16531.0,0.9200442115607836,0.06229617642848812
5,2,mse,14728.699999999999,0.7,6245.622222222222,0.9204891835217923,0.061314269433242176
5,2,mse,14728.699999999999,0.7,3122.811111111111,0.9461632914475737,0.04643459784164988
5,2,mse,14728.699999999999,0.7,1561.4055555555556,0.9080453304285753,0.06678131398432839
5,2,friedman_mse,3161.0,0.1,16531.0,0.6125126744107564,0.10418828484338558
5,2,friedman_mse,3161.0,0.1,6245.622222222222,0.6499289627367328,0.07313432439503025
5,2,friedman_mse,3161.0,0.1,3122.811111111111,0.6008032519629165,0.08572607477386426
5,2,friedman_mse,3161.0,0.1,1561.4055555555556,0.6320202692603424,0.08931915281534458
5,2,friedman_mse,3267.2,0.1,16531.0,0.7398145909639602,0.11337383544369199
5,2,friedman_mse,3267.2,0.1,6245.622222222222,0.7430021360590326,0.11295113707521455
5,2,friedman_mse,3267.2,0.1,3122.811111111111,0.7492445053833945,0.08527175807631843
5,2,friedman_mse,3267.2,0.1,1561.4055555555556,0.7051378055465668,0.08058616047637424
5,2,friedman_mse,5138.5,0.1,16531.0,1.0,0.0
5,2,friedman_mse,5138.5,0.1,6245.622222222222,1.0,0.0
5,2,friedman_mse,5138.5,0.1,3122.811111111111,1.0,0.0
5,2,friedman_mse,5138.5,0.1,1561.4055555555556,0.9728889425297007,0.0662175659478528
5,2,friedman_mse,5495.0,0.1,16531.0,0.8633127246048936,0.09804446683809843
5,2,friedman_mse,5495.0,0.1,6245.622222222222,0.885364257931861,0.07742615575844898
5,2,friedman_mse,5495.0,0.1,3122.811111111111,0.8577831510440254,0.11386699140163335
5,2,friedman_mse,5495.0,0.1,1561.4055555555556,0.8395747676379438,0.13851662607922197
5,2,friedman_mse,14728.699999999999,0.1,16531.0,0.7738606405615414,0.15531245171370028
5,2,friedman_mse,14728.699999999999,0.1,6245.622222222222,0.7366561361736075,0.14320792098264945
5,2,friedman_mse,14728.699999999999,0.1,3122.811111111111,0.7524853586923668,0.14066945614907836
5,2,friedman_mse,14728.699999999999,0.1,1561.4055555555556,0.7452610359244108,0.17070252393491378
5,2,friedman_mse,3161.0,0.2,16531.0,0.5682505081682553,0.05717431852591295
5,2,friedman_mse,3161.0,0.2,6245.622222222222,0.6131816457100002,0.07129725307536919
5,2,friedman_mse,3161.0,0.2,3122.811111111111,0.6228463034354925,0.07513169334726258
5,2,friedman_mse,3161.0,0.2,1561.4055555555556,0.5981751487181557,0.07293898863318113
