mean,std,max_depth,min_samples_split,criterion,threshold,training_size
0.7783258578754526,0.10372705641565663,5,20,friedman_mse,3267.2,0.7
1.0,0.0,5,20,friedman_mse,5138.5,0.7
0.9111476741927325,0.04907221118271963,5,20,friedman_mse,5495.0,0.7
0.895152820910973,0.07216661201982807,5,20,friedman_mse,14728.699999999999,0.7
0.5,0.0,5,50,mse,3161.0,0.1
0.5,0.0,5,50,mse,3267.2,0.1
0.5,0.0,5,50,mse,5138.5,0.1
0.5,0.0,5,50,mse,5495.0,0.1
0.5,0.0,5,50,mse,14728.699999999999,0.1
0.5,0.0,5,50,mse,3161.0,0.2
0.5,0.0,5,50,mse,3267.2,0.2
0.5,0.0,5,50,mse,5138.5,0.2
0.5,0.0,5,50,mse,5495.0,0.2
0.5,0.0,5,50,mse,14728.699999999999,0.2
0.5,0.0,5,50,mse,3161.0,0.5
0.8141577501512531,0.186349168657931,5,50,mse,3267.2,0.5
0.8389614900062226,0.0451153800590683,5,50,mse,5138.5,0.5
0.8073070061853705,0.03473539547377277,5,50,mse,5495.0,0.5
0.5,0.0,5,50,mse,14728.699999999999,0.5
0.5,0.0,5,50,mse,3161.0,0.7
0.8774382076227889,0.1299636759755834,5,50,mse,3267.2,0.7
0.8260946624956637,0.04673217006181867,5,50,mse,5138.5,0.7
0.7964170553014878,0.0677821198046421,5,50,mse,5495.0,0.7
0.5,0.0,5,50,mse,14728.699999999999,0.7
0.5,0.0,5,50,friedman_mse,3161.0,0.1
0.5,0.0,5,50,friedman_mse,3267.2,0.1
0.5,0.0,5,50,friedman_mse,5138.5,0.1
0.5,0.0,5,50,friedman_mse,5495.0,0.1
0.5,0.0,5,50,friedman_mse,14728.699999999999,0.1
0.5,0.0,5,50,friedman_mse,3161.0,0.2
0.5,0.0,5,50,friedman_mse,3267.2,0.2
0.5,0.0,5,50,friedman_mse,5138.5,0.2
0.5,0.0,5,50,friedman_mse,5495.0,0.2
0.5,0.0,5,50,friedman_mse,14728.699999999999,0.2
0.5,0.0,5,50,friedman_mse,3161.0,0.5
0.8544020213828765,0.15351576532934075,5,50,friedman_mse,3267.2,0.5
0.8447959280673751,0.04378534791709529,5,50,friedman_mse,5138.5,0.5
0.8218431616288333,0.04083673161625886,5,50,friedman_mse,5495.0,0.5
0.5,0.0,5,50,friedman_mse,14728.699999999999,0.5
0.5,0.0,5,50,friedman_mse,3161.0,0.7
0.9189650951821784,0.023758041913539623,5,50,friedman_mse,3267.2,0.7
0.8252600407602284,0.03389218337527204,5,50,friedman_mse,5138.5,0.7
0.7891091828890913,0.0530085832887347,5,50,friedman_mse,5495.0,0.7
0.5,0.0,5,50,friedman_mse,14728.699999999999,0.7
0.5,0.0,5,100,mse,3161.0,0.1
0.5,0.0,5,100,mse,3267.2,0.1
0.5,0.0,5,100,mse,5138.5,0.1
0.5,0.0,5,100,mse,5495.0,0.1
0.5,0.0,5,100,mse,14728.699999999999,0.1
0.5,0.0,5,100,mse,3161.0,0.2
0.5,0.0,5,100,mse,3267.2,0.2
0.5,0.0,5,100,mse,5138.5,0.2
0.5,0.0,5,100,mse,5495.0,0.2
0.5,0.0,5,100,mse,14728.699999999999,0.2
0.5,0.0,5,100,mse,3161.0,0.5
0.5,0.0,5,100,mse,3267.2,0.5
0.5,0.0,5,100,mse,5138.5,0.5
0.5,0.0,5,100,mse,5495.0,0.5
0.5,0.0,5,100,mse,14728.699999999999,0.5
0.5,0.0,5,100,mse,3161.0,0.7
0.5,0.0,5,100,mse,3267.2,0.7
0.5260225455624251,0.06289230367254886,5,100,mse,5138.5,0.7
0.8355423020883302,0.036188774329604156,5,100,mse,5495.0,0.7
0.5,0.0,5,100,mse,14728.699999999999,0.7
0.5,0.0,5,100,friedman_mse,3161.0,0.1
0.5,0.0,5,100,friedman_mse,3267.2,0.1
0.5,0.0,5,100,friedman_mse,5138.5,0.1
0.5,0.0,5,100,friedman_mse,5495.0,0.1
0.5,0.0,5,100,friedman_mse,14728.699999999999,0.1
0.5,0.0,5,100,friedman_mse,3161.0,0.2
0.5,0.0,5,100,friedman_mse,3267.2,0.2
0.5,0.0,5,100,friedman_mse,5138.5,0.2
0.5,0.0,5,100,friedman_mse,5495.0,0.2
0.5,0.0,5,100,friedman_mse,14728.699999999999,0.2
0.5,0.0,5,100,friedman_mse,3161.0,0.5
0.5,0.0,5,100,friedman_mse,3267.2,0.5
0.5,0.0,5,100,friedman_mse,5138.5,0.5
0.5,0.0,5,100,friedman_mse,5495.0,0.5
0.5,0.0,5,100,friedman_mse,14728.699999999999,0.5
0.5,0.0,5,100,friedman_mse,3161.0,0.7
0.5,0.0,5,100,friedman_mse,3267.2,0.7
0.5142851000280844,0.05809406146419679,5,100,friedman_mse,5138.5,0.7
0.825007268315891,0.057800500816903175,5,100,friedman_mse,5495.0,0.7
0.5,0.0,5,100,friedman_mse,14728.699999999999,0.7
0.6712299808917426,0.115184091490451,8,2,mse,3161.0,0.1
0.7815105112913292,0.08985145858835872,8,2,mse,3267.2,0.1
0.9907407407407408,0.04140866624999609,8,2,mse,5138.5,0.1
0.9052680865197876,0.044220831571974505,8,2,mse,5495.0,0.1
0.7957678438672384,0.14750940008011873,8,2,mse,14728.699999999999,0.1
0.6346124662583281,0.07960473736282804,8,2,mse,3161.0,0.2
0.7974334036778644,0.08048072210963879,8,2,mse,3267.2,0.2
1.0,0.0,8,2,mse,5138.5,0.2
0.9238524439205558,0.0284777845836033,8,2,mse,5495.0,0.2
0.8482751677046141,0.08211966529213698,8,2,mse,14728.699999999999,0.2
0.687577007580441,0.08603571527553266,8,2,mse,3161.0,0.5
0.7892951343645589,0.05838977504262667,8,2,mse,3267.2,0.5
1.0,0.0,8,2,mse,5138.5,0.5
0.9414005214521726,0.041082014435524034,8,2,mse,5495.0,0.5
0.899974434320443,0.06159025535737842,8,2,mse,14728.699999999999,0.5
0.7114837290071511,0.1287794141840024,8,2,mse,3161.0,0.7
0.7748001732299795,0.061527072288022795,8,2,mse,3267.2,0.7
1.0,0.0,8,2,mse,5138.5,0.7
0.9432594537162157,0.04264505079569259,8,2,mse,5495.0,0.7
0.9059593623633562,0.08434707261529015,8,2,mse,14728.699999999999,0.7
0.6252354616464756,0.08697167424226807,8,2,friedman_mse,3161.0,0.1
0.7622993759304503,0.08353661636664929,8,2,friedman_mse,3267.2,0.1
0.9912790697674418,0.039001185654066094,8,2,friedman_mse,5138.5,0.1
0.8954041543032242,0.0575114141557681,8,2,friedman_mse,5495.0,0.1
0.793885816903521,0.15327065661684464,8,2,friedman_mse,14728.699999999999,0.1
0.6469701958031032,0.08604759564333163,8,2,friedman_mse,3161.0,0.2
0.797901738875989,0.06485022974087831,8,2,friedman_mse,3267.2,0.2
1.0,0.0,8,2,friedman_mse,5138.5,0.2
0.9304520865290316,0.026789524075730726,8,2,friedman_mse,5495.0,0.2
0.8476908214828495,0.11057494188355936,8,2,friedman_mse,14728.699999999999,0.2
0.7087072036451347,0.09234149750541783,8,2,friedman_mse,3161.0,0.5
0.7789870958997333,0.05500551987888537,8,2,friedman_mse,3267.2,0.5
1.0,0.0,8,2,friedman_mse,5138.5,0.5
0.9326348997260763,0.028246422122208147,8,2,friedman_mse,5495.0,0.5
0.9062316220668534,0.04958370733516169,8,2,friedman_mse,14728.699999999999,0.5
0.6644284913240659,0.08208719693663546,8,2,friedman_mse,3161.0,0.7
0.7850209696769397,0.07808644311908275,8,2,friedman_mse,3267.2,0.7
1.0,0.0,8,2,friedman_mse,5138.5,0.7
0.9171124901355723,0.057270798858761816,8,2,friedman_mse,5495.0,0.7
0.9051092995447899,0.11091601543211811,8,2,friedman_mse,14728.699999999999,0.7
0.5412703838817844,0.06705536977811392,8,5,mse,3161.0,0.1
0.7524282538644884,0.14818217165793177,8,5,mse,3267.2,0.1
0.9541425256355314,0.08187552999239792,8,5,mse,5138.5,0.1
0.8383703862413077,0.12718552120344268,8,5,mse,5495.0,0.1
0.7488862918969116,0.20566522376326718,8,5,mse,14728.699999999999,0.1
0.5690961929575347,0.0735290306864988,8,5,mse,3161.0,0.2
0.795882450338951,0.0942294022710953,8,5,mse,3267.2,0.2
1.0,0.0,8,5,mse,5138.5,0.2
0.9289165806771598,0.03398659112999321,8,5,mse,5495.0,0.2
0.8975875386371014,0.073045725135281,8,5,mse,14728.699999999999,0.2
0.584738614478177,0.07605523880706788,8,5,mse,3161.0,0.5
0.7676854937480253,0.07258051236498245,8,5,mse,3267.2,0.5
1.0,0.0,8,5,mse,5138.5,0.5
0.934513781962224,0.04306354598449929,8,5,mse,5495.0,0.5
0.8846484283467392,0.0688800613538101,8,5,mse,14728.699999999999,0.5
0.6357373085942692,0.1487972402098177,8,5,mse,3161.0,0.7
0.7868251428734083,0.08529850928020606,8,5,mse,3267.2,0.7
1.0,0.0,8,5,mse,5138.5,0.7
0.9429487618015153,0.03716639700759999,8,5,mse,5495.0,0.7
0.9089298289816348,0.06436157491877413,8,5,mse,14728.699999999999,0.7
0.6037624555188328,0.11124279118079095,8,5,friedman_mse,3161.0,0.1
0.7575334654446132,0.1292704983000842,8,5,friedman_mse,3267.2,0.1
0.9479202467595007,0.0816923291619953,8,5,friedman_mse,5138.5,0.1
0.8785374514299648,0.06108759166056366,8,5,friedman_mse,5495.0,0.1
0.7325294731657709,0.22757601939813155,8,5,friedman_mse,14728.699999999999,0.1
0.6032347973433457,0.11273726575704585,8,5,friedman_mse,3161.0,0.2
0.7663242198540497,0.0790809655519335,8,5,friedman_mse,3267.2,0.2
1.0,0.0,8,5,friedman_mse,5138.5,0.2
0.9341318029519536,0.0326324971562373,8,5,friedman_mse,5495.0,0.2
0.8531045099385922,0.1367948602661932,8,5,friedman_mse,14728.699999999999,0.2
0.6617398779399808,0.05319823429994511,8,5,friedman_mse,3161.0,0.5
0.7980101231084027,0.0582655033942392,8,5,friedman_mse,3267.2,0.5
1.0,0.0,8,5,friedman_mse,5138.5,0.5
0.9476402310335994,0.03064213860368422,8,5,friedman_mse,5495.0,0.5
0.8963358884687734,0.06659361395659877,8,5,friedman_mse,14728.699999999999,0.5
0.6717620222516947,0.10096606510657963,8,5,friedman_mse,3161.0,0.7
0.8132149874912544,0.08195952852032418,8,5,friedman_mse,3267.2,0.7
1.0,0.0,8,5,friedman_mse,5138.5,0.7
0.9441232790565508,0.031305468436925075,8,5,friedman_mse,5495.0,0.7
0.9044534102660016,0.10145257512703777,8,5,friedman_mse,14728.699999999999,0.7
0.518448275862069,0.08250319779050946,8,10,mse,3161.0,0.1
0.7495476984058677,0.209058659211054,8,10,mse,3267.2,0.1
0.873741060282924,0.1197552816246121,8,10,mse,5138.5,0.1
0.8070614716737723,0.008276478375763188,8,10,mse,5495.0,0.1
0.5,0.0,8,10,mse,14728.699999999999,0.1
0.5701189043343742,0.11343346255237663,8,10,mse,3161.0,0.2
0.7589710993399276,0.14776865043349374,8,10,mse,3267.2,0.2
0.9806084971213023,0.05975690950307971,8,10,mse,5138.5,0.2
0.9024561153541196,0.034216039426314196,8,10,mse,5495.0,0.2
0.8872445125764153,0.16943032910717,8,10,mse,14728.699999999999,0.2
0.6150850854042509,0.087883618643963,8,10,mse,3161.0,0.5
0.8191916926808711,0.0674305961521857,8,10,mse,3267.2,0.5
1.0,0.0,8,10,mse,5138.5,0.5
0.9215051505238717,0.04313567111567109,8,10,mse,5495.0,0.5
0.8579336981312341,0.08737682008174848,8,10,mse,14728.699999999999,0.5
0.6179418083986504,0.09929387120771517,8,10,mse,3161.0,0.7
0.7747694412148016,0.06673439911454611,8,10,mse,3267.2,0.7
1.0,0.0,8,10,mse,5138.5,0.7
0.9228328195240868,0.05509318967660533,8,10,mse,5495.0,0.7
0.9674304419554771,0.03806312460325805,8,10,mse,14728.699999999999,0.7
0.534199008121422,0.10546371572544774,8,10,friedman_mse,3161.0,0.1
0.7660163251502828,0.20122908275028542,8,10,friedman_mse,3267.2,0.1
0.8905125661830502,0.08264429313917057,8,10,friedman_mse,5138.5,0.1
0.815378721344676,0.02791508602150942,8,10,friedman_mse,5495.0,0.1
0.523448275862069,0.1048638775655074,8,10,friedman_mse,14728.699999999999,0.1
0.5297493536997354,0.07982518769628376,8,10,friedman_mse,3161.0,0.2
0.8036585356082295,0.07110578961695134,8,10,friedman_mse,3267.2,0.2
0.9724202023285222,0.0673891698220647,8,10,friedman_mse,5138.5,0.2
0.8955667694383429,0.04379159386358482,8,10,friedman_mse,5495.0,0.2
0.8839895489854888,0.17013042493446956,8,10,friedman_mse,14728.699999999999,0.2
0.585004022398057,0.0796509668861112,8,10,friedman_mse,3161.0,0.5
0.7678036939151992,0.08072851237547579,8,10,friedman_mse,3267.2,0.5
1.0,0.0,8,10,friedman_mse,5138.5,0.5
0.9349906422505496,0.04151918074339539,8,10,friedman_mse,5495.0,0.5
0.876650543676449,0.09037889122282786,8,10,friedman_mse,14728.699999999999,0.5
0.617357348996431,0.11722175994909366,8,10,friedman_mse,3161.0,0.7
0.7975869952335422,0.08165613547702834,8,10,friedman_mse,3267.2,0.7
1.0,0.0,8,10,friedman_mse,5138.5,0.7
0.9449914372105461,0.03260433885341187,8,10,friedman_mse,5495.0,0.7
0.9677930672268907,0.04184422732359866,8,10,friedman_mse,14728.699999999999,0.7
0.5,0.0,8,20,mse,3161.0,0.1
0.5,0.0,8,20,mse,3267.2,0.1
0.5,0.0,8,20,mse,5138.5,0.1
0.5,0.0,8,20,mse,5495.0,0.1
0.5,0.0,8,20,mse,14728.699999999999,0.1
0.5,0.0,8,20,mse,3161.0,0.2
0.8322707043148581,0.1705294792402731,8,20,mse,3267.2,0.2
0.8746078297835973,0.07482609097211065,8,20,mse,5138.5,0.2
0.8074227582601601,0.014052316756270446,8,20,mse,5495.0,0.2
0.5,0.0,8,20,mse,14728.699999999999,0.2
0.5069435975609757,0.022313201302332247,8,20,mse,3161.0,0.5
0.7669600473405132,0.08246055101083577,8,20,mse,3267.2,0.5
1.0,0.0,8,20,mse,5138.5,0.5
0.9071377546060377,0.03883353093569962,8,20,mse,5495.0,0.5
0.95413825636242,0.04901807763726801,8,20,mse,14728.699999999999,0.5
0.5269528635636695,0.07738374646745799,8,20,mse,3161.0,0.7
0.7874193855603259,0.09495503452126168,8,20,mse,3267.2,0.7
1.0,0.0,8,20,mse,5138.5,0.7
0.9246148989898991,0.04206590413784458,8,20,mse,5495.0,0.7
0.8622167368334939,0.07546550232239724,8,20,mse,14728.699999999999,0.7
0.5,0.0,8,20,friedman_mse,3161.0,0.1
0.5,0.0,8,20,friedman_mse,3267.2,0.1
0.5,0.0,8,20,friedman_mse,5138.5,0.1
0.5,0.0,8,20,friedman_mse,5495.0,0.1
0.5,0.0,8,20,friedman_mse,14728.699999999999,0.1
0.5278717406624384,0.08979376459049553,8,20,friedman_mse,3161.0,0.2
0.7831208979135981,0.19469225904050827,8,20,friedman_mse,3267.2,0.2
0.8540707111435495,0.11115410153275078,8,20,friedman_mse,5138.5,0.2
0.8102641372661192,0.012105060233486146,8,20,friedman_mse,5495.0,0.2
0.5,0.0,8,20,friedman_mse,14728.699999999999,0.2
0.5182240633870683,0.06151161715135531,8,20,friedman_mse,3161.0,0.5
0.7442566021306131,0.1002585423558369,8,20,friedman_mse,3267.2,0.5
1.0,0.0,8,20,friedman_mse,5138.5,0.5
0.9000629996508479,0.024310178980126686,8,20,friedman_mse,5495.0,0.5
0.9519364819734595,0.04042687287495064,8,20,friedman_mse,14728.699999999999,0.5
0.5253438125250101,0.06808993586903737,8,20,friedman_mse,3161.0,0.7
0.7923868928674226,0.07984397720745591,8,20,friedman_mse,3267.2,0.7
1.0,0.0,8,20,friedman_mse,5138.5,0.7
0.9147993672993673,0.05232295099488946,8,20,friedman_mse,5495.0,0.7
0.8651241150484246,0.10592743784867667,8,20,friedman_mse,14728.699999999999,0.7
0.5,0.0,8,50,mse,3161.0,0.1
0.5,0.0,8,50,mse,3267.2,0.1
0.5,0.0,8,50,mse,5138.5,0.1
0.5,0.0,8,50,mse,5495.0,0.1
0.5,0.0,8,50,mse,14728.699999999999,0.1
0.5,0.0,8,50,mse,3161.0,0.2
0.5,0.0,8,50,mse,3267.2,0.2
0.5,0.0,8,50,mse,5138.5,0.2
0.5,0.0,8,50,mse,5495.0,0.2
0.5,0.0,8,50,mse,14728.699999999999,0.2
0.5,0.0,8,50,mse,3161.0,0.5
0.8945842194252698,0.0939414585604127,8,50,mse,3267.2,0.5
0.8493169396600171,0.055513530155586695,8,50,mse,5138.5,0.5
0.8195946687167229,0.026353683938592158,8,50,mse,5495.0,0.5
0.5,0.0,8,50,mse,14728.699999999999,0.5
0.5,0.0,8,50,mse,3161.0,0.7
0.9184914288841421,0.01703030504613776,8,50,mse,3267.2,0.7
0.8245000436289791,0.03226298503835832,8,50,mse,5138.5,0.7
0.8105662745724098,0.053184500736996716,8,50,mse,5495.0,0.7
0.5,0.0,8,50,mse,14728.699999999999,0.7
0.5,0.0,8,50,friedman_mse,3161.0,0.1
0.5,0.0,8,50,friedman_mse,3267.2,0.1
