mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.6700647986281127,0.013019291740692341,5,5,mse,58.1726,0.5,32
0.5,0.0,5,5,mse,22.464,0.7,32
0.5,0.0,5,5,mse,23.3968,0.7,32
0.8811813263856564,0.003030719240378554,5,5,mse,30.396,0.7,32
0.8076180670113663,0.01673446802022343,5,5,mse,45.1672,0.7,32
0.6652788951075296,0.011312060091793674,5,5,mse,58.1726,0.7,32
0.5,0.0,5,5,friedman_mse,22.464,0.1,32
0.5000201323935285,9.00348009590764e-05,5,5,friedman_mse,23.3968,0.1,32
0.8782029291269591,0.004787897114330056,5,5,friedman_mse,30.396,0.1,32
0.8139247229469253,0.019955013022889864,5,5,friedman_mse,45.1672,0.1,32
0.6695447983534211,0.023359851612853505,5,5,friedman_mse,58.1726,0.1,32
0.5,0.0,5,5,friedman_mse,22.464,0.2,32
0.5,0.0,5,5,friedman_mse,23.3968,0.2,32
0.8786776061593187,0.0035813236737466396,5,5,friedman_mse,30.396,0.2,32
0.8162122394496965,0.021578332879454005,5,5,friedman_mse,45.1672,0.2,32
0.6811966145038315,0.012730511037914248,5,5,friedman_mse,58.1726,0.2,32
0.5,0.0,5,5,friedman_mse,22.464,0.5,32
0.5,0.0,5,5,friedman_mse,23.3968,0.5,32
0.8805774993586514,0.004352441588142775,5,5,friedman_mse,30.396,0.5,32
0.8126062471569696,0.015373504109849055,5,5,friedman_mse,45.1672,0.5,32
0.6678700926729563,0.014800477320866425,5,5,friedman_mse,58.1726,0.5,32
0.5,0.0,5,5,friedman_mse,22.464,0.7,32
0.5,0.0,5,5,friedman_mse,23.3968,0.7,32
0.8800084501942751,0.004846011190016104,5,5,friedman_mse,30.396,0.7,32
0.8101379804585417,0.02059494911438254,5,5,friedman_mse,45.1672,0.7,32
0.668623974098184,0.011201860194196566,5,5,friedman_mse,58.1726,0.7,32
0.5,0.0,5,10,mse,22.464,0.1,32
0.5,0.0,5,10,mse,23.3968,0.1,32
0.876341069475156,0.0071693091153177116,5,10,mse,30.396,0.1,32
0.8033983993925528,0.022185401159755983,5,10,mse,45.1672,0.1,32
0.6634050257046107,0.021533215196067743,5,10,mse,58.1726,0.1,32
0.5,0.0,5,10,mse,22.464,0.2,32
0.5,0.0,5,10,mse,23.3968,0.2,32
0.8795174733401279,0.004351975469515972,5,10,mse,30.396,0.2,32
0.8126572871159509,0.01836297336677468,5,10,mse,45.1672,0.2,32
0.6716870737847099,0.0115350077190397,5,10,mse,58.1726,0.2,32
0.5,0.0,5,10,mse,22.464,0.5,32
0.5,0.0,5,10,mse,23.3968,0.5,32
0.8814387391080016,0.002724593852981012,5,10,mse,30.396,0.5,32
0.8093894533219244,0.01827276208881453,5,10,mse,45.1672,0.5,32
0.6706115182023643,0.015732733175554653,5,10,mse,58.1726,0.5,32
0.5,0.0,5,10,mse,22.464,0.7,32
0.5,0.0,5,10,mse,23.3968,0.7,32
0.8802784828149193,0.006318728446855583,5,10,mse,30.396,0.7,32
0.8069037114673432,0.019371634794489345,5,10,mse,45.1672,0.7,32
0.6647714042647074,0.013473794915130436,5,10,mse,58.1726,0.7,32
0.5,0.0,5,10,friedman_mse,22.464,0.1,32
0.5,0.0,5,10,friedman_mse,23.3968,0.1,32
0.8775438543020341,0.0057198584404253,5,10,friedman_mse,30.396,0.1,32
0.803487383957483,0.024373960023009636,5,10,friedman_mse,45.1672,0.1,32
0.6696045315337573,0.015386760192356056,5,10,friedman_mse,58.1726,0.1,32
0.5,0.0,5,10,friedman_mse,22.464,0.2,32
0.5,0.0,5,10,friedman_mse,23.3968,0.2,32
0.8804903166528332,0.004206783054818348,5,10,friedman_mse,30.396,0.2,32
0.8113546776166265,0.02022654247511034,5,10,friedman_mse,45.1672,0.2,32
0.6762157786912975,0.01866176234514267,5,10,friedman_mse,58.1726,0.2,32
0.5,0.0,5,10,friedman_mse,22.464,0.5,32
0.5,0.0,5,10,friedman_mse,23.3968,0.5,32
0.8784528686943396,0.004302347717982441,5,10,friedman_mse,30.396,0.5,32
0.8030921130243304,0.02122308700804663,5,10,friedman_mse,45.1672,0.5,32
0.6691107423829865,0.01695691804213923,5,10,friedman_mse,58.1726,0.5,32
0.5,0.0,5,10,friedman_mse,22.464,0.7,32
0.5,0.0,5,10,friedman_mse,23.3968,0.7,32
0.8805761593021627,0.005024056801484967,5,10,friedman_mse,30.396,0.7,32
0.8104792175088363,0.016615473896044515,5,10,friedman_mse,45.1672,0.7,32
0.6658576277711508,0.015929377160333612,5,10,friedman_mse,58.1726,0.7,32
0.5,0.0,5,20,mse,22.464,0.1,32
0.5,0.0,5,20,mse,23.3968,0.1,32
0.8757653722860039,0.006155332394061854,5,20,mse,30.396,0.1,32
0.7945107195647858,0.03788155189436475,5,20,mse,45.1672,0.1,32
0.6718649003525046,0.022689997325802857,5,20,mse,58.1726,0.1,32
0.5,0.0,5,20,mse,22.464,0.2,32
0.5,0.0,5,20,mse,23.3968,0.2,32
0.8773033767218502,0.005353475927286448,5,20,mse,30.396,0.2,32
0.811038592442649,0.01845998372397655,5,20,mse,45.1672,0.2,32
0.6689074769799517,0.01640439965919991,5,20,mse,58.1726,0.2,32
