max_depth,min_samples_split,criterion,threshold,training_size,gap,n_options,mean,std
5,2,mse,1215.0,0.1,356.9140625,6,0.8134654629677737,0.06523306196642754
5,2,mse,1215.0,0.1,356.9140625,7,0.7871825332558429,0.07157605421586993
5,2,mse,1215.0,0.1,356.9140625,8,0.7869942102332655,0.06221230624411557
5,2,mse,1974.0000000000005,0.1,2640.0,1,0.8094578671479032,0.004578970860093771
5,2,mse,1974.0000000000005,0.1,2640.0,2,0.8962774965591723,0.09334859995937023
5,2,mse,1974.0000000000005,0.1,2640.0,3,0.8658212318763695,0.10334724392640386
5,2,mse,1974.0000000000005,0.1,2640.0,4,0.8691454848760213,0.06375069415620675
5,2,mse,1974.0000000000005,0.1,2640.0,5,0.822633788116095,0.11351148757070963
5,2,mse,1974.0000000000005,0.1,2640.0,6,0.8303975831443818,0.0848467782405549
5,2,mse,1974.0000000000005,0.1,2640.0,7,0.7582674819578296,0.10048706624953542
5,2,mse,1974.0000000000005,0.1,2640.0,8,0.7913378798329055,0.09725830502259615
5,2,mse,1974.0000000000005,0.1,1427.65625,1,0.7673120313110634,0.1154305504971394
5,2,mse,1974.0000000000005,0.1,1427.65625,2,0.8911452262538921,0.09584548435159305
5,2,mse,1974.0000000000005,0.1,1427.65625,3,0.8536880711579181,0.09147848157416347
5,2,mse,1974.0000000000005,0.1,1427.65625,4,0.8177821020633889,0.09680201311675907
5,2,mse,1974.0000000000005,0.1,1427.65625,5,0.8139612410251118,0.10059766248447662
5,2,mse,1974.0000000000005,0.1,1427.65625,6,0.8479126261423536,0.08572357665210212
5,2,mse,1974.0000000000005,0.1,1427.65625,7,0.7841269758152211,0.11082874151157093
5,2,mse,1974.0000000000005,0.1,1427.65625,8,0.7954739504104399,0.08135254299167823
5,2,mse,1974.0000000000005,0.1,713.828125,1,0.7195128583945251,0.14755195307849564
5,2,mse,1974.0000000000005,0.1,713.828125,2,0.9169399424509102,0.0035515573900734027
5,2,mse,1974.0000000000005,0.1,713.828125,3,0.8860711038678357,0.06263749489566704
5,2,mse,1974.0000000000005,0.1,713.828125,4,0.823416757486293,0.09962422750736236
5,2,mse,1974.0000000000005,0.1,713.828125,5,0.8336691217616196,0.08876252379322698
5,2,mse,1974.0000000000005,0.1,713.828125,6,0.7874365274189952,0.07351569223000153
5,2,mse,1974.0000000000005,0.1,713.828125,7,0.8003749386815224,0.09640599718105916
5,2,mse,1974.0000000000005,0.1,713.828125,8,0.8083813488722459,0.08871908672874684
5,2,mse,1974.0000000000005,0.1,356.9140625,1,0.6244346442177122,0.15637601094655973
5,2,mse,1974.0000000000005,0.1,356.9140625,2,0.9175691682927887,0.003934284430789456
5,2,mse,1974.0000000000005,0.1,356.9140625,3,0.8360488201299923,0.11095185118003852
5,2,mse,1974.0000000000005,0.1,356.9140625,4,0.8390232857418605,0.08922634375608933
5,2,mse,1974.0000000000005,0.1,356.9140625,5,0.8087871356638882,0.07072973394287431
5,2,mse,1974.0000000000005,0.1,356.9140625,6,0.8203299258365734,0.08051359018802537
5,2,mse,1974.0000000000005,0.1,356.9140625,7,0.8384666969135326,0.06820154643731664
5,2,mse,1974.0000000000005,0.1,356.9140625,8,0.8233371068372713,0.06491977560214553
5,2,mse,2160.0,0.1,2640.0,1,0.666651644433762,0.1396369673894479
5,2,mse,2160.0,0.1,2640.0,2,0.7671819513802625,0.1607567593981821
5,2,mse,2160.0,0.1,2640.0,3,0.7143341494286358,0.13700889573489713
5,2,mse,2160.0,0.1,2640.0,4,0.7564462336570317,0.14607564208319726
5,2,mse,2160.0,0.1,2640.0,5,0.7752461112967779,0.10866412709585432
5,2,mse,2160.0,0.1,2640.0,6,0.7336519873642583,0.12505600770557038
5,2,mse,2160.0,0.1,2640.0,7,0.6426495822355478,0.13821378218352118
5,2,mse,2160.0,0.1,2640.0,8,0.7172070248476105,0.11556425337297505
5,2,mse,2160.0,0.1,1427.65625,1,0.6371577249324132,0.14073295480028727
5,2,mse,2160.0,0.1,1427.65625,2,0.7965212274712481,0.15222590149109316
5,2,mse,2160.0,0.1,1427.65625,3,0.7457032191229851,0.12325246162612533
5,2,mse,2160.0,0.1,1427.65625,4,0.7900468434676828,0.10960970130645105
5,2,mse,2160.0,0.1,1427.65625,5,0.7528021663056659,0.12889652035353283
5,2,mse,2160.0,0.1,1427.65625,6,0.7724272458933832,0.11547058636511152
5,2,mse,2160.0,0.1,1427.65625,7,0.7209906547083544,0.14476671836326188
5,2,mse,2160.0,0.1,1427.65625,8,0.713567332119629,0.11759222928338957
5,2,mse,2160.0,0.1,713.828125,1,0.5136075949367089,0.060855014577525915
5,2,mse,2160.0,0.1,713.828125,2,0.7227767475610739,0.18664962870720395
5,2,mse,2160.0,0.1,713.828125,3,0.7087433891055637,0.1333914335914945
5,2,mse,2160.0,0.1,713.828125,4,0.7918762003437202,0.13428190501059417
5,2,mse,2160.0,0.1,713.828125,5,0.8273619304310506,0.048624129050684625
5,2,mse,2160.0,0.1,713.828125,6,0.8068167457972544,0.05864393735882145
5,2,mse,2160.0,0.1,713.828125,7,0.7218218785178661,0.1288085613220063
5,2,mse,2160.0,0.1,713.828125,8,0.752678116134687,0.11504596874226801
5,2,mse,2160.0,0.1,356.9140625,1,0.5,0.0
5,2,mse,2160.0,0.1,356.9140625,2,0.7021240381189295,0.1876089907302859
5,2,mse,2160.0,0.1,356.9140625,3,0.6792026351699973,0.1485162132757107
5,2,mse,2160.0,0.1,356.9140625,4,0.7881693555101652,0.11866357470442646
5,2,mse,2160.0,0.1,356.9140625,5,0.7610797619519851,0.13637443844966166
5,2,mse,2160.0,0.1,356.9140625,6,0.7249505585338659,0.1359137617868938
5,2,mse,2160.0,0.1,356.9140625,7,0.7367007205969923,0.11158583377906399
5,2,mse,2160.0,0.1,356.9140625,8,0.6763841737218561,0.1157313264545849
5,2,mse,960.0,0.2,2640.0,1,0.5,0.0
5,2,mse,960.0,0.2,2640.0,2,0.5,0.0
5,2,mse,960.0,0.2,2640.0,3,0.558844699813622,0.0932176323623346
5,2,mse,960.0,0.2,2640.0,4,0.6930397628407508,0.11437653149133785
5,2,mse,960.0,0.2,2640.0,5,0.8101504010781866,0.07951387396236638
