max_depth,min_samples_split,criterion,n_options,training_size,threshold,gap,mean
8,2,mse,9468,0.5,21436619,half_mean,0.5
8,2,mse,9468,0.5,21436619,half_mean,0.5
8,2,mse,9468,0.5,21436619,half_mean,0.7520548328108778
8,2,mse,9468,0.5,21436619,half_mean,0.5
8,2,mse,9468,0.5,21436619,half_mean,0.5
8,2,mse,9468,0.5,21436619,quarter_mean,0.7375609639724418
8,2,mse,9468,0.5,21436619,quarter_mean,0.6876411161784277
8,2,mse,9468,0.5,21436619,quarter_mean,0.7055744907776563
8,2,mse,9468,0.5,21436619,quarter_mean,0.676586986444306
8,2,mse,9468,0.5,21436619,quarter_mean,0.7784868767899178
8,2,mse,9468,0.5,31443996,max,0.499625566889382
8,2,mse,9468,0.5,31443996,max,0.4996275995823183
8,2,mse,9468,0.5,31443996,max,0.4995206973970617
8,2,mse,9468,0.5,31443996,max,0.4997010941137365
8,2,mse,9468,0.5,31443996,max,0.4996753433925066
8,2,mse,9468,0.5,31443996,mean,0.7763735826316409
8,2,mse,9468,0.5,31443996,mean,0.8136843484072043
8,2,mse,9468,0.5,31443996,mean,0.8019466234568932
8,2,mse,9468,0.5,31443996,mean,0.8071206893173495
8,2,mse,9468,0.5,31443996,mean,0.8088142137700511
8,2,mse,9468,0.5,31443996,half_mean,0.8727878850651118
8,2,mse,9468,0.5,31443996,half_mean,0.7762714003334921
8,2,mse,9468,0.5,31443996,half_mean,0.8748468637758819
8,2,mse,9468,0.5,31443996,half_mean,0.8075635186198659
8,2,mse,9468,0.5,31443996,half_mean,0.8674804131397631
8,2,mse,9468,0.5,31443996,quarter_mean,0.8937964136925964
8,2,mse,9468,0.5,31443996,quarter_mean,0.8893578532092868
8,2,mse,9468,0.5,31443996,quarter_mean,0.8888232805695337
8,2,mse,9468,0.5,31443996,quarter_mean,0.8658171204071183
8,2,mse,9468,0.5,31443996,quarter_mean,0.8850726382268719
8,2,mse,9468,0.5,54346448,max,0.8531873508365774
8,2,mse,9468,0.5,54346448,max,0.8498375430101432
8,2,mse,9468,0.5,54346448,max,0.8579853968301727
8,2,mse,9468,0.5,54346448,max,0.8495330906629472
8,2,mse,9468,0.5,54346448,max,0.8446565835081548
8,2,mse,9468,0.5,54346448,mean,0.9375084110323436
8,2,mse,9468,0.5,54346448,mean,0.9363828310444202
8,2,mse,9468,0.5,54346448,mean,0.9347435773399876
8,2,mse,9468,0.5,54346448,mean,0.9365467565425044
8,2,mse,9468,0.5,54346448,mean,0.936462811616004
8,2,mse,9468,0.5,54346448,half_mean,0.9374646758576052
8,2,mse,9468,0.5,54346448,half_mean,0.9380282813057446
8,2,mse,9468,0.5,54346448,half_mean,0.9352281017268556
8,2,mse,9468,0.5,54346448,half_mean,0.9312114936738936
8,2,mse,9468,0.5,54346448,half_mean,0.935956098072084
8,2,mse,9468,0.5,54346448,quarter_mean,0.9338842308735698
8,2,mse,9468,0.5,54346448,quarter_mean,0.9334607860138212
8,2,mse,9468,0.5,54346448,quarter_mean,0.9297634928362746
8,2,mse,9468,0.5,54346448,quarter_mean,0.9324870396335124
8,2,mse,9468,0.5,54346448,quarter_mean,0.9337341521315408
8,2,mse,9468,0.5,86467304,max,0.9315825709578888
8,2,mse,9468,0.5,86467304,max,0.9290624911145972
8,2,mse,9468,0.5,86467304,max,0.9285894509187032
8,2,mse,9468,0.5,86467304,max,0.9313733519740592
8,2,mse,9468,0.5,86467304,max,0.9283689915659802
8,2,mse,9468,0.5,86467304,mean,0.9527707853521586
8,2,mse,9468,0.5,86467304,mean,0.9450812302987164
8,2,mse,9468,0.5,86467304,mean,0.9500329759895298
8,2,mse,9468,0.5,86467304,mean,0.956124801921734
8,2,mse,9468,0.5,86467304,mean,0.9499480417305473
8,2,mse,9468,0.5,86467304,half_mean,0.9454953067920581
8,2,mse,9468,0.5,86467304,half_mean,0.9347815405976956
8,2,mse,9468,0.5,86467304,half_mean,0.9401662379443656
8,2,mse,9468,0.5,86467304,half_mean,0.9390954541869952
8,2,mse,9468,0.5,86467304,half_mean,0.9398149023811024
8,2,mse,9468,0.5,86467304,quarter_mean,0.9323066255869632
8,2,mse,9468,0.5,86467304,quarter_mean,0.9392905810073976
8,2,mse,9468,0.5,86467304,quarter_mean,0.9403405952985244
8,2,mse,9468,0.5,86467304,quarter_mean,0.9420403751663466
8,2,mse,9468,0.5,86467304,quarter_mean,0.9241905552650416
8,2,mse,9468,0.8,18760656,max,0.5010505858982492
8,2,mse,9468,0.8,18760656,max,0.5010020341538429
8,2,mse,9468,0.8,18760656,max,0.4998660718847298
8,2,mse,9468,0.8,18760656,max,0.5010306626960016
8,2,mse,9468,0.8,18760656,max,0.4996978137557848
8,2,mse,9468,0.8,18760656,mean,0.5
8,2,mse,9468,0.8,18760656,mean,0.5
8,2,mse,9468,0.8,18760656,mean,0.5
8,2,mse,9468,0.8,18760656,mean,0.5
8,2,mse,9468,0.8,18760656,mean,0.5
8,2,mse,9468,0.8,18760656,half_mean,0.5
8,2,mse,9468,0.8,18760656,half_mean,0.5
8,2,mse,9468,0.8,18760656,half_mean,0.5
8,2,mse,9468,0.8,18760656,half_mean,0.5
8,2,mse,9468,0.8,18760656,half_mean,0.5
8,2,mse,9468,0.8,18760656,quarter_mean,0.6514362188275231
8,2,mse,9468,0.8,18760656,quarter_mean,0.6816056583280962
8,2,mse,9468,0.8,18760656,quarter_mean,0.6840007462750647
8,2,mse,9468,0.8,18760656,quarter_mean,0.6824524245003059
8,2,mse,9468,0.8,18760656,quarter_mean,0.6229068774589138
8,2,mse,9468,0.8,21436619,max,0.4997641727693655
8,2,mse,9468,0.8,21436619,max,0.4999292866146367
8,2,mse,9468,0.8,21436619,max,0.4997586398428504
8,2,mse,9468,0.8,21436619,max,0.4996212207268998
8,2,mse,9468,0.8,21436619,max,0.4998010888964226
8,2,mse,9468,0.8,21436619,mean,0.5
8,2,mse,9468,0.8,21436619,mean,0.5
8,2,mse,9468,0.8,21436619,mean,0.5
8,2,mse,9468,0.8,21436619,mean,0.5
8,2,mse,9468,0.8,21436619,mean,0.5
8,2,mse,9468,0.8,21436619,half_mean,0.5
8,2,mse,9468,0.8,21436619,half_mean,0.5
8,2,mse,9468,0.8,21436619,half_mean,0.5
