max_depth,min_samples_split,criterion,n_options,training_size,threshold,mean
18,2,gini,200,0.7,86467304,0.9238853581890538
18,2,gini,200,0.7,86467304,0.9282510070867817
18,2,gini,200,0.7,86467304,0.9250238404858506
18,2,gini,200,0.7,86467304,0.9278884639771168
18,2,gini,200,0.7,86467304,0.9252292335783197
18,2,gini,300,0.1,18760656,0.7966606457703085
18,2,gini,300,0.1,18760656,0.8120607728763252
18,2,gini,300,0.1,18760656,0.8143209043612232
18,2,gini,300,0.1,18760656,0.8203741606682491
18,2,gini,300,0.1,18760656,0.8187281634946808
18,2,gini,300,0.1,21436619,0.8633726205079848
18,2,gini,300,0.1,21436619,0.8558671406675227
18,2,gini,300,0.1,21436619,0.8514262246712503
18,2,gini,300,0.1,21436619,0.8502074594237969
18,2,gini,300,0.1,21436619,0.8596812126475524
18,2,gini,300,0.1,31443996,0.8896256442805812
18,2,gini,300,0.1,31443996,0.8905112430117996
18,2,gini,300,0.1,31443996,0.889094048219278
18,2,gini,300,0.1,31443996,0.8891395606413461
18,2,gini,300,0.1,31443996,0.8867186218301817
18,2,gini,300,0.1,54346448,0.8927171767995399
18,2,gini,300,0.1,54346448,0.9017563135636828
18,2,gini,300,0.1,54346448,0.9019767583910618
18,2,gini,300,0.1,54346448,0.9047786015505374
18,2,gini,300,0.1,54346448,0.893341569087597
18,2,gini,300,0.1,86467304,0.8920723472422978
18,2,gini,300,0.1,86467304,0.8840666958952925
18,2,gini,300,0.1,86467304,0.8764379612336621
18,2,gini,300,0.1,86467304,0.895600136562853
18,2,gini,300,0.1,86467304,0.8814050249202023
18,2,gini,300,0.2,18760656,0.8331752386870473
18,2,gini,300,0.2,18760656,0.8230390214863745
18,2,gini,300,0.2,18760656,0.8204033877956199
18,2,gini,300,0.2,18760656,0.8310261317187813
18,2,gini,300,0.2,18760656,0.8355533432505897
18,2,gini,300,0.2,21436619,0.8623727696685966
18,2,gini,300,0.2,21436619,0.8587290267586672
18,2,gini,300,0.2,21436619,0.87298400255465
18,2,gini,300,0.2,21436619,0.8651515153170868
18,2,gini,300,0.2,21436619,0.8710561292316765
18,2,gini,300,0.2,31443996,0.8986366451301133
18,2,gini,300,0.2,31443996,0.894106705082953
18,2,gini,300,0.2,31443996,0.9010367147104767
18,2,gini,300,0.2,31443996,0.8986898480632708
18,2,gini,300,0.2,31443996,0.8971069905471332
18,2,gini,300,0.2,54346448,0.9083216479746212
18,2,gini,300,0.2,54346448,0.9113947046872968
18,2,gini,300,0.2,54346448,0.9092434836054832
18,2,gini,300,0.2,54346448,0.9111177449080284
18,2,gini,300,0.2,54346448,0.913971454044217
18,2,gini,300,0.2,86467304,0.9058400253891732
18,2,gini,300,0.2,86467304,0.9067345201520206
18,2,gini,300,0.2,86467304,0.9116270692783982
18,2,gini,300,0.2,86467304,0.8928483984220923
18,2,gini,300,0.2,86467304,0.91007046939025
18,2,gini,300,0.5,18760656,0.8404905018290731
18,2,gini,300,0.5,18760656,0.8535964404347858
18,2,gini,300,0.5,18760656,0.850454960923951
18,2,gini,300,0.5,18760656,0.8472819559651673
18,2,gini,300,0.5,18760656,0.8366017728861765
18,2,gini,300,0.5,21436619,0.8848505557636608
18,2,gini,300,0.5,21436619,0.8878050536297617
18,2,gini,300,0.5,21436619,0.8801125383465269
18,2,gini,300,0.5,21436619,0.8838604306367568
18,2,gini,300,0.5,21436619,0.8802104974171744
18,2,gini,300,0.5,31443996,0.9099164378248552
18,2,gini,300,0.5,31443996,0.9115442762487096
18,2,gini,300,0.5,31443996,0.9076302907630752
18,2,gini,300,0.5,31443996,0.9095308364648684
18,2,gini,300,0.5,31443996,0.9092851030531691
18,2,gini,300,0.5,54346448,0.918143254445534
18,2,gini,300,0.5,54346448,0.9190754493807196
18,2,gini,300,0.5,54346448,0.9177495017991776
18,2,gini,300,0.5,54346448,0.9209636776657106
18,2,gini,300,0.5,54346448,0.9195312986659491
18,2,gini,300,0.5,86467304,0.9253085243617654
18,2,gini,300,0.5,86467304,0.9164220225389867
18,2,gini,300,0.5,86467304,0.9186218313375348
18,2,gini,300,0.5,86467304,0.9175480478158898
18,2,gini,300,0.5,86467304,0.9202150348633702
18,2,gini,300,0.7,18760656,0.8578580327328617
18,2,gini,300,0.7,18760656,0.8515568229301889
18,2,gini,300,0.7,18760656,0.8539634895661116
18,2,gini,300,0.7,18760656,0.855852650850905
18,2,gini,300,0.7,18760656,0.8477103227276636
18,2,gini,300,0.7,21436619,0.8883172225605938
18,2,gini,300,0.7,21436619,0.8852759130993572
18,2,gini,300,0.7,21436619,0.8865979547755518
18,2,gini,300,0.7,21436619,0.8837980104745644
18,2,gini,300,0.7,21436619,0.8918980205061815
18,2,gini,300,0.7,31443996,0.9118725153501276
18,2,gini,300,0.7,31443996,0.9109710652279638
18,2,gini,300,0.7,31443996,0.9095462741733183
18,2,gini,300,0.7,31443996,0.9138572936616152
18,2,gini,300,0.7,31443996,0.9144374912531336
18,2,gini,300,0.7,54346448,0.9200906963254779
18,2,gini,300,0.7,54346448,0.925349083389098
18,2,gini,300,0.7,54346448,0.9237590082796312
18,2,gini,300,0.7,54346448,0.9227564928106072
18,2,gini,300,0.7,54346448,0.9270261202144612
18,2,gini,300,0.7,86467304,0.9264652593956936
